12:00,14:00,18:00,20:00,Registro Regional y Entrega de materiales. ,"ITESO, Edificio T, Salón T211",Todos.,ICPC México / ITESO
15:00,-,21:00,-,Registro en hotel.,Hoteles Convenio,Todos,Hotel Convenio
15:00,16:30,21:00,22:30,Asamblea de Directores de Sede de México. Incluye comida solo para directores de sede.,"ITESO, Edificio T, Salón T211","Directores de Sede de México, Comité Directivo",ICPC México / ITESO
16:45,17:00,22:45,23:00,Acomodo en Salón para Concurso de Práctica / Práctica de Ceremonia de Entrada de Equipos .,"ITESO, Edificio T, Salón T120-121","Concursantes.  Entrenadores, Staff",ICPC México / ITESO
17:00,17:45,23:00,23:45,Concurso de Práctica,"ITESO, Edificio T, Salón T120-121","Concursantes.  Entrenadores, Staff",ICPC México / ITESO
18:00,18:45,24:00:00,00:45 (+1),Inauguración y Premiación del Gran Premio 2022 / Foto Grupal con TODOS los participantes,"Auditorio M, ITESO",Todos,ICPC México / ITESO
19:00,21:30,01:00 (+1),03:30 (+1),Conferencias de Patrocinadores,"Auditorio M, ITESO",Todos,ICPC México / ITESO
21:45,23:00,03:45 (+1),05:00 (+1),Cena de Bienvenida,Vivero,Todos,ICPC México / ITESO
23:00,-,05:00 (+1),-,Cierre del Primer Día. ,Salida de Participantes a Hoteles.,Todos,-
