6:00,8:00,12:00,14:00,Desayuno (Alojados en Livup desayunan en Holiday Inn Express Guadalajara ITESO),Hoteles,Todos,-
8:00,9:00,14:00,15:00,"Traslado de Hoteles al ITESO Salidas del Hampton al ITESO en tres horarios: 8:00 am, 9:00 am y 10:00 am. Salidas del Holiday Inn Express ITESO desde las 8:00 am hasta las 11:00 am, cada 45 minutos.",Hoteles,Todos,•Holiday Inn Express ITESO •Hampton by Hilton Guadalajara Expo
9:00,11:00,15:00,17:00,Acomodo en el salón de competencias. Los concursantes deben llevar una credencial vigente con fotografía. Ceremonia de Entrada de Equipos,"ITESO, Edificio T, Salón T120-121",Concursantes,ICPC México / ITESO
11:00,16:00,17:00,22:00,Eliminatoria Regional #ICPCMX2022,"ITESO, Edificio T, Salón T120-121",Concursantes,ICPC México / ITESO
11:00,16:00,17:00,22:00,"Actividades para Directores, Entrenadores y otros asistentes","ITESO, Edificio T, Salón T211","Directores, Entrenadores",ICPC México / ITESO
16:00,17:00,22:00,23:00,Visita a Puestos de Patrocinadores,Vestíbulo Auditorio M,Todos,Patrocinadores ICPCMX
17:00,18:30,23:00,00:30 (+1),Premiación y Clausura,Auditorio M,Todos,ICPC México / ITESO
18:30,20:30,00:30 (+1),02:30 (+1),Comida de Cierre,Cafetería Central del ITESO,Todos,Oracle
